country,region,income_level,subsample,year,flfp,unemployment,female_non_agri,avg_weekly_hours
Czechia,ECS,High income,High Education,2001,0.6393048763275146,0.07867433875799179,0.96636563539505,41.40579223632813
Czechia,ECS,High income,Female,2001,0.6299078464508057,0.0963355153799057,0.9662665128707886,38.90167236328125
Czechia,ECS,High income,All,2001,0.6299078464508057,0.07967011630535126,0.9662665128707886,41.40175628662109
Czechia,ECS,High income,Old,2001,0.6964983940124512,0.06903216242790222,0.9637603163719177,41.58003616333008
Czechia,ECS,High income,High Education,2002,0.6362653970718384,0.06969720125198364,0.965347945690155,41.39213562011719
Czechia,ECS,High income,Female,2002,0.6250908970832825,0.08604703843593597,0.9653074741363525,38.72222518920898
Czechia,ECS,High income,All,2002,0.6250908970832825,0.07007277011871338,0.9653074741363525,41.3950080871582
Czechia,ECS,High income,Rural,2002,0.6134347319602966,0.05998610705137253,0.9363081455230713,41.13560485839844
Czechia,ECS,High income,Low Education,2002,0.04669913277029991,0.3597902953624725,0.905528724193573,44.51324081420898
Czechia,ECS,High income,Old,2002,0.6957071423530579,0.0603022426366806,0.9630059003829956,41.53472900390625
Czechia,ECS,High income,Urban,2002,0.6296159625053406,0.07403308153152466,0.9763987064361572,41.49859619140625
Czechia,ECS,High income,Young,2002,0.3429025411605835,0.1454335153102875,0.9855560064315796,40.11740875244141
Czechia,ECS,High income,Low Education,2003,0.03925776854157448,0.3018239140510559,0.9257020354270935,44.716796875
Czechia,ECS,High income,Female,2003,0.626284122467041,0.09694476425647736,0.9677708148956299,38.58376693725586
Czechia,ECS,High income,All,2003,0.626284122467041,0.07527128607034683,0.9677708148956299,41.50407791137695
Czechia,ECS,High income,High Education,2003,0.6374582648277283,0.07509473711252213,0.9678013920783997,41.50197601318359
Czechia,ECS,High income,Young,2003,0.3284745514392853,0.1570775210857391,0.9909331798553467,40.41013717651367
Czechia,ECS,High income,Urban,2003,0.6319308876991272,0.08036521822214127,0.9776145815849304,41.65279769897461
Czechia,ECS,High income,Old,2003,0.6977598071098328,0.06568451225757599,0.9654011726379395,41.61077880859375
Czechia,ECS,High income,Rural,2003,0.6117385029792786,0.06222264468669891,0.942186713218689,41.12969970703125
Czechia,ECS,High income,All,2004,0.6212857961654663,0.08242465555667877,0.9680999517440796,42.12178421020508
Czechia,ECS,High income,Old,2004,0.6927754282951355,0.07065799832344055,0.9662718772888184,42.23547744750977
Czechia,ECS,High income,Urban,2004,0.625368058681488,0.08611200749874115,0.9756264686584473,42.29608535766602
Czechia,ECS,High income,Young,2004,0.312601238489151,0.1919199824333191,0.9875210523605347,40.84833145141602
Czechia,ECS,High income,Female,2004,0.6212857961654663,0.0970831885933876,0.9680999517440796,39.2651252746582
Czechia,ECS,High income,Low Education,2004,0.007883992977440357,0.08191405981779099,1,43.82435607910156
