year,income_level,n,mean_flfp,median_flfp,sd_flfp
2009,Upper middle income,189,0.5305365635840981,0.5543689131736755,0.17546528876460613
2010,High income,213,0.5969295525494875,0.6557497978210449,0.16646309998082437
2010,Low income,80,0.7140059642493725,0.7163618206977844,0.15263359216719927
2010,Lower middle income,170,0.4706845968413878,0.4994465112686157,0.1748003749276426
2010,Upper middle income,168,0.5095707387885168,0.5160980224609375,0.1756200532670657
2011,High income,243,0.5870189293299193,0.64290618896484375,0.16491780133889933
2011,Low income,65,0.6664270669221878,0.7043009996414185,0.16279512647768365
2011,Lower middle income,118,0.46526923106383455,0.49884133040905,0.1842326644038087
2011,Upper middle income,168,0.4948592656513765,0.5108287930488586,0.1693047408359681
2012,High income,234,0.5978037438904628,0.660576581954956,0.16696402600134597
2012,Low income,56,0.7116372138261795,0.7401930093765259,0.15210461735329608
2012,Lower middle income,168,0.5333390142408289,0.5374550521373749,0.21927595264882052
2012,Upper middle income,171,0.49469170164404036,0.5109548568725586,0.19221336942062803
2013,High income,257,0.5934106072389198,0.6574912071228027,0.17353375553182243
2013,Low income,65,0.5822932950579203,0.7055386900901794,0.2957622742637256
2013,Lower middle income,119,0.44420709373319844,0.4120390117168427,0.1825545798048024
2013,Upper middle income,173,0.5072105574728436,0.5178587436676025,0.1618423546042996
2014,High income,243,0.6082857274469525,0.6741845607757568,0.17154232754605536
2014,Low income,56,0.6353902752910342,0.701447606086731,0.21583171671406626
2014,Lower middle income,145,0.508616525962435,0.5229300856590271,0.22445580962923645
2014,Upper middle income,155,0.5165883164312091,0.5454967617988586,0.18001581543238415
2015,High income,251,0.608637526082209,0.6752856969833374,0.17061044213469193
2015,Low income,33,0.6943948837843809,0.6936362385749817,0.15282450666931038
2015,Lower middle income,144,0.4729714675599503,0.4899566620588303,0.1777057005149806
2015,Upper middle income,164,0.5351055470272535,0.5599049925804138,0.15594444336712585
2016,High income,226,0.6092175180174871,0.6698160171508789,0.1749311361287965
2016,Low income,40,0.6470040921121836,0.6967708170413971,0.22252834036886196
2016,Lower middle income,128,0.4952036883914843,0.4951968789100647,0.2188745787635585
2016,Upper middle income,171,0.5057051523645784,0.553692638874054,0.19642644869243148
2017,High income,47,0.5725834775478282,0.5873026251792908,0.1097499842806657
2017,Low income,16,0.728720823302865,0.7649358212947845,0.2644574644059563
2017,Lower middle income,152,0.45443352081469807,0.5026973485946655,0.19983598220430032
2017,Upper middle income,143,0.5271503776311874,0.544831395149231,0.1558579490597524
2018,High income,31,0.5952392085905998,0.6053733825683594,0.10735879307103174
2018,Low income,78,0.8472038098634818,0.9371205270290375,0.17822019529831365
2018,Lower middle income,128,0.5167257197317667,0.5366321802139282,0.21520911068630252
2018,Upper middle income,129,0.5562587863253069,0.5724436044692993,0.1760846309580098
2019,High income,23,0.5776191392670507,0.6190834641456604,0.13734840917165214
2019,Low income,14,0.6020891325814384,0.5960994064807892,0.14618016650303994
2019,Lower middle income,103,0.482335925355409,0.5019286870956421,0.19882145574495905
2019,Upper middle income,130,0.5044585142571193,0.5191231966018677,0.17009449693310608
2020,High income,13,0.5631520839837881,0.5662221908569336,0.13167589476196923
2020,Low income,24,0.5117864074806373,0.4934764802455902,0.14323289502355813
2020,Lower middle income,40,0.5208613446622621,0.5072748959064484,0.23750044776708037
2020,Upper middle income,88,0.5421792378395118,0.5727955102920532,0.145364920402703
2021,High income,23,0.5614842681781105,0.5646281242370605,0.12219714454827146
2021,Low income,16,0.5344737432897091,0.5490868985652924,0.07993005958486674
2021,Lower middle income,24,0.5430490643096467,0.579115241765976,0.17080503578359474
2021,Upper middle income,56,0.5889650641807488,0.6056643128395081,0.12617994279871728
