income_level,n,mean_flfp,median_flfp,sd_flfp
High income,4246,0.576185019453001,0.6215759217739105,0.16236970507383255
Low income,1033,0.6580648146842905,0.700840950012207,0.21441898577772406
Lower middle income,3301,0.47675345706172734,0.4854546785354614,0.19787004544724132
Upper middle income,3777,0.5190875850879133,0.5379202961921692,0.1735333931347143
