subsample,n,mean_flfp,median_flfp,sd_flfp
All,1696,0.5721970411975218,0.5907306373119354,0.15798241759151777
Female,1587,0.5702397374655739,0.5889341235160828,0.15965100361648538
High Education,1513,0.5984433832780262,0.6131523847579956,0.15084163457734395
Low Education,1535,0.44416227618320353,0.4374300539493561,0.21353041880805004
Old,1587,0.6285567782025852,0.652540385723114,0.17151848816755313
Rural,1410,0.5626569005931528,0.5838131010532379,0.1862224763647824
Urban,1442,0.5664113472769978,0.5866107642650604,0.1574436058816482
Young,1587,0.3719835785236949,0.3402769863605499,0.15340297768372207
